Job started on node: gpu0002
Using GPU: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch 1160 | Cost: 1486.18 | Max P-Miss: 0.1293 | Max Q-Miss: 0.0321 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1170 | Cost: 1487.33 | Max P-Miss: 0.1359 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1180 | Cost: 1388.20 | Max P-Miss: 0.1343 | Max Q-Miss: 0.0626 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1190 | Cost: 1449.72 | Max P-Miss: 0.1393 | Max Q-Miss: 0.0844 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1200 | Cost: 1454.77 | Max P-Miss: 0.1319 | Max Q-Miss: 0.0422 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1210 | Cost: 1493.80 | Max P-Miss: 0.1121 | Max Q-Miss: 0.0371 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1220 | Cost: 1494.99 | Max P-Miss: 0.1229 | Max Q-Miss: 0.0331 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1230 | Cost: 1490.45 | Max P-Miss: 0.1118 | Max Q-Miss: 0.0315 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1240 | Cost: 1482.36 | Max P-Miss: 0.1427 | Max Q-Miss: 0.0432 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1250 | Cost: 1481.14 | Max P-Miss: 0.1165 | Max Q-Miss: 0.0354 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1260 | Cost: 1441.14 | Max P-Miss: 0.1306 | Max Q-Miss: 0.0611 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1270 | Cost: 1463.92 | Max P-Miss: 0.1175 | Max Q-Miss: 0.0463 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1280 | Cost: 1479.06 | Max P-Miss: 0.1183 | Max Q-Miss: 0.0349 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1290 | Cost: 1483.43 | Max P-Miss: 0.1157 | Max Q-Miss: 0.0298 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1300 | Cost: 1474.42 | Max P-Miss: 0.1273 | Max Q-Miss: 0.0361 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1310 | Cost: 1505.37 | Max P-Miss: 0.1206 | Max Q-Miss: 0.0544 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1320 | Cost: 1488.83 | Max P-Miss: 0.1177 | Max Q-Miss: 0.0334 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1330 | Cost: 1487.97 | Max P-Miss: 0.1138 | Max Q-Miss: 0.0322 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1340 | Cost: 1490.13 | Max P-Miss: 0.1100 | Max Q-Miss: 0.0320 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1350 | Cost: 1489.71 | Max P-Miss: 0.1076 | Max Q-Miss: 0.0288 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1360 | Cost: 1488.71 | Max P-Miss: 0.1074 | Max Q-Miss: 0.0302 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1370 | Cost: 1487.18 | Max P-Miss: 0.1141 | Max Q-Miss: 0.0338 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1380 | Cost: 1484.58 | Max P-Miss: 0.1107 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1390 | Cost: 1485.48 | Max P-Miss: 0.1137 | Max Q-Miss: 0.0419 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1400 | Cost: 1482.45 | Max P-Miss: 0.1107 | Max Q-Miss: 0.0299 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1410 | Cost: 1481.24 | Max P-Miss: 0.1092 | Max Q-Miss: 0.0310 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1420 | Cost: 1477.40 | Max P-Miss: 0.1250 | Max Q-Miss: 0.0413 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1430 | Cost: 1475.71 | Max P-Miss: 0.1575 | Max Q-Miss: 0.0393 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1440 | Cost: 1443.27 | Max P-Miss: 0.1448 | Max Q-Miss: 0.0805 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1450 | Cost: 1485.96 | Max P-Miss: 0.1364 | Max Q-Miss: 0.1079 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1460 | Cost: 1475.05 | Max P-Miss: 0.1369 | Max Q-Miss: 0.0354 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1470 | Cost: 1480.02 | Max P-Miss: 0.1448 | Max Q-Miss: 0.0330 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1480 | Cost: 1482.51 | Max P-Miss: 0.1360 | Max Q-Miss: 0.0345 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1490 | Cost: 1482.60 | Max P-Miss: 0.1286 | Max Q-Miss: 0.0354 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1500 | Cost: 1479.40 | Max P-Miss: 0.1292 | Max Q-Miss: 0.0372 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1510 | Cost: 1481.93 | Max P-Miss: 0.1299 | Max Q-Miss: 0.0370 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1520 | Cost: 1478.30 | Max P-Miss: 0.1229 | Max Q-Miss: 0.0407 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1530 | Cost: 1479.48 | Max P-Miss: 0.1177 | Max Q-Miss: 0.0434 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1540 | Cost: 1480.52 | Max P-Miss: 0.1180 | Max Q-Miss: 0.0357 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1550 | Cost: 1478.07 | Max P-Miss: 0.1242 | Max Q-Miss: 0.0300 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1560 | Cost: 1466.12 | Max P-Miss: 0.1165 | Max Q-Miss: 0.0453 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1570 | Cost: 1391.85 | Max P-Miss: 0.2289 | Max Q-Miss: 0.0346 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1580 | Cost: 1438.79 | Max P-Miss: 0.1318 | Max Q-Miss: 0.0471 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1590 | Cost: 1457.74 | Max P-Miss: 0.1518 | Max Q-Miss: 0.0506 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1600 | Cost: 1463.43 | Max P-Miss: 0.1346 | Max Q-Miss: 0.0486 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1610 | Cost: 1475.10 | Max P-Miss: 0.1266 | Max Q-Miss: 0.0402 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1620 | Cost: 1483.32 | Max P-Miss: 0.1281 | Max Q-Miss: 0.0409 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1630 | Cost: 1488.57 | Max P-Miss: 0.1256 | Max Q-Miss: 0.0414 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1640 | Cost: 1439.53 | Max P-Miss: 0.2014 | Max Q-Miss: 0.0607 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1650 | Cost: 1428.62 | Max P-Miss: 0.1396 | Max Q-Miss: 0.0827 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1660 | Cost: 1501.90 | Max P-Miss: 0.1011 | Max Q-Miss: 0.0382 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1670 | Cost: 1478.06 | Max P-Miss: 0.1491 | Max Q-Miss: 0.0330 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1680 | Cost: 1484.03 | Max P-Miss: 0.1430 | Max Q-Miss: 0.0359 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1690 | Cost: 1486.17 | Max P-Miss: 0.1371 | Max Q-Miss: 0.0377 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1700 | Cost: 1482.53 | Max P-Miss: 0.1248 | Max Q-Miss: 0.0311 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
