Job: acopf_run
Executing: ACOPF_DC3.py
Node: gpu0003
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch 1010 | Cost: 1486.35 | Max P-Miss: 0.1297 | Max Q-Miss: 0.0486 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1020 | Cost: 1534.45 | Max P-Miss: 0.1123 | Max Q-Miss: 0.0474 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch 1030 | Cost: 1471.96 | Max P-Miss: 0.1153 | Max Q-Miss: 0.0759 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0020
Epoch 1040 | Cost: 1555.80 | Max P-Miss: 0.1155 | Max Q-Miss: 0.0389 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1050 | Cost: 1560.36 | Max P-Miss: 0.1098 | Max Q-Miss: 0.0403 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1060 | Cost: 1560.38 | Max P-Miss: 0.1054 | Max Q-Miss: 0.0317 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1070 | Cost: 1557.80 | Max P-Miss: 0.1042 | Max Q-Miss: 0.0306 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1080 | Cost: 1555.95 | Max P-Miss: 0.0997 | Max Q-Miss: 0.0285 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1090 | Cost: 1548.30 | Max P-Miss: 0.0996 | Max Q-Miss: 0.0289 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1100 | Cost: 1532.31 | Max P-Miss: 0.1140 | Max Q-Miss: 0.0404 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0014
Epoch 1110 | Cost: 1530.25 | Max P-Miss: 0.1121 | Max Q-Miss: 0.0315 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1120 | Cost: 1546.54 | Max P-Miss: 0.1066 | Max Q-Miss: 0.0381 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1130 | Cost: 1527.71 | Max P-Miss: 0.1090 | Max Q-Miss: 0.0332 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1140 | Cost: 1525.07 | Max P-Miss: 0.1110 | Max Q-Miss: 0.0368 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1150 | Cost: 1521.93 | Max P-Miss: 0.1256 | Max Q-Miss: 0.0553 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch 1160 | Cost: 1415.73 | Max P-Miss: 0.1485 | Max Q-Miss: 0.0561 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0014
