Architecture,Run,Instance_ID,Raw_Obj_Gap_pct,Raw_Max_Eq,Raw_Mean_Eq,Raw_Max_Ineq,Raw_Mean_Ineq,NN_Time_s,Restoration_Success,Restoration_Status,Restoration_Time_s,Total_Online_Time_s,Restoration_Distance,Restored_Cost,IPOPT_Cost,Restored_Obj_Gap_pct,Restored_Max_Eq,Restored_Mean_Eq,Restored_Max_Ineq,Restored_Mean_Ineq
PINN Baseline,3,5,36.2578125,1.105591058731079,0.11308443546295166,0.43983423709869385,0.0419762060046196,0.00013375999988056718,False,infeasible,0.1252137000010407,0.12534746000092128,,,2116.685546875,,,,,
PINN Baseline,3,6,30.608686447143555,1.1163946390151978,0.11684637516736984,0.4281345009803772,0.04079011082649231,0.00013375999988056718,False,infeasible,0.11479599999802304,0.1149297599979036,,,2211.462646484375,,,,,
PINN Baseline,3,7,34.07012176513672,1.1146974563598633,0.11252105236053467,0.4358455538749695,0.04146445542573929,0.00013375999988056718,False,infeasible,0.1292710999987321,0.12940485999861268,,,2154.029296875,,,,,
PINN Baseline,3,8,33.57473373413086,1.115693211555481,0.11371256411075592,0.433267205953598,0.04117753356695175,0.00013375999988056718,False,infeasible,0.12310020000222721,0.12323396000210778,,,2162.856689453125,,,,,
PINN Baseline,3,9,38.677467346191406,1.1141924858093262,0.11417818069458008,0.435046523809433,0.04139005392789841,0.00013375999988056718,False,infeasible,0.10394029999952181,0.10407405999940238,,,2082.473388671875,,,,,
PINN Baseline,4,0,-18.802396774291992,0.7067525386810303,0.12455487251281738,0.7035520672798157,0.06978637725114822,0.0002243099999759579,False,infeasible,0.15723200000138604,0.157456310001362,,,2157.823486328125,,,,,
PINN Baseline,4,1,-20.21003532409668,0.6915297508239746,0.11548145860433578,0.7120479941368103,0.0710257738828659,0.0002243099999759579,False,infeasible,0.1332073000012315,0.13343161000120746,,,2202.7431640625,,,,,
PINN Baseline,4,2,-21.407207489013672,0.6894074082374573,0.11594444513320923,0.7133873105049133,0.07121853530406952,0.0002243099999759579,False,infeasible,0.1247813000009046,0.12500561000088056,,,2237.24365234375,,,,,
PINN Baseline,4,3,-18.64011001586914,0.6989884972572327,0.12217483669519424,0.7079818248748779,0.07043592631816864,0.0002243099999759579,False,infeasible,0.1359621999981755,0.13618650999815146,,,2156.857177734375,,,,,
PINN Baseline,4,4,-19.271697998046875,0.7000722289085388,0.12240637838840485,0.7068799734115601,0.07026085257530212,0.0002243099999759579,False,infeasible,0.1342530000001716,0.13447731000014757,,,2173.237060546875,,,,,
PINN Baseline,4,5,-16.79619789123535,0.6805673837661743,0.11194002628326416,0.7178255319595337,0.07185615599155426,0.0002243099999759579,False,infeasible,0.11697939999794471,0.11720370999792067,,,2116.685546875,,,,,
PINN Baseline,4,6,-20.656909942626953,0.7002143859863281,0.12276976555585861,0.7074629068374634,0.07036961615085602,0.0002243099999759579,False,infeasible,0.139825700000074,0.14005001000004996,,,2211.462646484375,,,,,
PINN Baseline,4,7,-18.372262954711914,0.6898903846740723,0.11482834070920944,0.7134442329406738,0.07122132182121277,0.0002243099999759579,False,infeasible,0.14339769999787677,0.14362200999785274,,,2154.029296875,,,,,
PINN Baseline,4,8,-18.748939514160156,0.6926344037055969,0.11662169545888901,0.7116212844848633,0.07095909863710403,0.0002243099999759579,False,infeasible,0.14845449999847915,0.14867880999845512,,,2162.856689453125,,,,,
PINN Baseline,4,9,-15.659391403198242,0.6952999830245972,0.1191132441163063,0.7102649807929993,0.07076641172170639,0.0002243099999759579,False,infeasible,0.14267009999821312,0.1428944099981891,,,2082.473388671875,,,,,
PINN Baseline,5,0,10.63864803314209,0.09507399052381516,0.046240661293268204,0.06625580787658691,0.0011579976417124271,0.00017713000015646686,False,infeasible,0.10497030000260565,0.10514743000276212,,,2157.823486328125,,,,,
PINN Baseline,5,1,6.2007975578308105,0.08815588802099228,0.04259658232331276,0.05700868368148804,0.001022513024508953,0.00017713000015646686,False,infeasible,0.09177409999756492,0.09195122999772139,,,2202.7431640625,,,,,
PINN Baseline,5,2,4.467658042907715,0.0895489752292633,0.042878299951553345,0.0537380576133728,0.0009652324952185154,0.00017713000015646686,False,infeasible,0.09456240000145044,0.09473953000160691,,,2237.24365234375,,,,,
PINN Baseline,5,3,9.933740615844727,0.09375229477882385,0.04516950622200966,0.058768272399902344,0.001043892465531826,0.00017713000015646686,False,infeasible,0.09038909999799216,0.09056622999814863,,,2156.857177734375,,,,,
PINN Baseline,5,4,8.658025741577148,0.09436200559139252,0.045634303241968155,0.06090080738067627,0.001086574513465166,0.00017713000015646686,False,infeasible,0.11381769999934477,0.11399482999950124,,,2173.237060546875,,,,,
PINN Baseline,5,5,9.4163236618042,0.08196005970239639,0.039284586906433105,0.05151259899139404,0.0009287744760513306,0.00017713000015646686,False,infeasible,0.12206239999795798,0.12223952999811445,,,2116.685546875,,,,,
PINN Baseline,5,6,6.787985801696777,0.10147003829479218,0.047052621841430664,0.061117589473724365,0.001090234611183405,0.00017713000015646686,False,infeasible,0.11343510000006063,0.1136122300002171,,,2211.462646484375,,,,,
PINN Baseline,5,7,8.839923858642578,0.08670134842395782,0.041474319994449615,0.0565914511680603,0.0010122265666723251,0.00017713000015646686,False,infeasible,0.11569330000202172,0.11587043000217818,,,2154.029296875,,,,,
