Instance,Success,Status,Objective,Solve_Time_s,Max_Eq_Violation,Max_Ineq_Violation,Total_Pd,Total_Qd
86,True,optimal,108569.34700926415,0.6509407000048668,1.095396058303777e-07,6.897967637087277e-07,71.9995233938098,11.505645735189319
87,True,optimal,112088.85652649344,0.6781714999960968,1.1025099055927967e-07,6.808344039654912e-07,72.79733803868294,11.745330544188619
88,True,optimal,106055.81943734444,0.6513114999979734,1.0722988896816332e-07,4.660198626993406e-07,72.13532762229443,11.836109285242856
89,True,optimal,106322.46693828263,0.6891278000039165,1.0953105089583914e-07,6.86788695247742e-07,71.04897267371416,11.69169113971293
90,True,optimal,110809.34392485193,0.6908278000046266,1.1064190097442861e-07,6.782517090186957e-07,72.34597375616431,11.697012634016573
91,True,optimal,108854.65246738464,0.7109964999981457,1.1001201727367516e-07,6.807328958302605e-07,70.06368378922343,11.640035425312817
92,True,optimal,109218.42737758128,0.6742277000012109,1.095419097651984e-07,6.866172839181672e-07,71.67517948523164,11.709422452375293
93,True,optimal,109204.28951240855,0.6607308000020566,1.0953667484159268e-07,6.893499886473364e-07,72.90733398869634,11.525525650009513
94,True,optimal,105654.10699828886,0.7227616000018315,1.090124595037878e-07,4.64045378123501e-07,71.96238564327359,11.938306640833616
95,True,optimal,109784.29034475869,0.7024431000027107,1.0945538875262173e-07,4.6723169333517944e-07,71.87623539566994,11.618393525481224
96,True,optimal,109044.49858164224,0.701120899997477,1.0953687734627238e-07,6.895178614740871e-07,72.73809442669153,11.722362475469708
97,True,optimal,109178.48342584766,0.6948521000012988,1.1003146660470975e-07,6.760000843542002e-07,72.78230779990554,11.7492305804044
98,True,optimal,106718.46461070896,0.6739859000008437,1.0752353318821406e-07,4.6757465099744877e-07,72.95827734470367,11.765561753883958
99,True,optimal,104432.22801464204,0.6390449999962584,1.0636833636112897e-07,4.64130579302946e-07,72.00780399143696,11.873468158766627
100,True,optimal,112503.46864293315,0.6825382000024547,1.1023215051864099e-07,6.813656057147455e-07,72.42824963480234,11.612929675728083
