Instance,Success,Status,Objective,Solve_Time_s,Max_Eq_Violation,Max_Ineq_Violation,Total_Pd,Total_Qd
64,True,optimal,230506.50894772765,2.479563599998073,2.3719914565845102e-07,1.1212929917903125e-08,236.0919887572527,78.28962545969989
65,True,optimal,229176.68374647017,2.5433046000034665,2.372643734815938e-07,1.1182584191971046e-08,236.3739764150232,77.50458536262158
66,True,optimal,219298.35245713493,2.274754199999734,2.372476295420256e-07,1.1114605236173247e-08,235.60760059580207,77.71361250965856
67,True,optimal,224765.95710849177,1.8813470999957644,2.372105285530779e-07,1.1193211468807363e-08,236.93280107621104,77.11699387326371
68,True,optimal,228721.98363150362,2.4165512999970815,2.3729731424282363e-07,1.1193687976529532e-08,237.55128794210032,77.6902124050539
69,True,optimal,225940.12523981748,2.2743707000045106,2.373167085067962e-07,1.1188008297580154e-08,234.05750746745616,78.34811510832515
70,True,optimal,223283.39223926238,2.2158711000010953,2.3722791553382194e-07,1.1182611947546661e-08,234.80191685119644,78.51059925113805
71,True,optimal,220177.04133419873,2.2867375999994692,2.3724978248651496e-07,1.1195232296756785e-08,234.13455323688686,77.0120162613457
72,True,optimal,226942.7207651025,2.3563301999965915,2.373043592740487e-07,1.1208786565575224e-08,236.0623140251264,77.3771019205451
73,True,optimal,219382.39711056027,2.2023176000002422,2.3723988107349214e-07,1.1120625753591185e-08,234.74068068666384,77.47394741210155
74,True,optimal,224474.89446713697,2.249014000000898,2.3735895382515082e-07,1.1192679005844752e-08,233.36097336607054,77.73303891404066
75,True,optimal,230188.5114837032,2.3830804000026546,2.3736552279274292e-07,1.1201182648079566e-08,235.16024006716907,78.18003902584314
76,True,optimal,221377.39346992283,2.346376200002851,2.3720788533410087e-07,1.1197297311582588e-08,235.233993511647,77.7230876776157
77,True,optimal,232824.5948161323,2.443979899995611,2.3725558762066612e-07,1.1217796025420057e-08,234.17168095195666,78.00449373491574
78,True,optimal,219936.3213245368,2.3418551000067964,2.3725848663502802e-07,1.119070103250408e-08,233.2273102919571,76.91269040701445
79,True,optimal,220937.00155389935,2.2154859000002034,2.3720143005334648e-07,1.1202224925455084e-08,234.86648504342884,77.71879881422501
80,True,optimal,226363.53714713853,2.320232700003544,2.3730281384359841e-07,1.1188157955643874e-08,236.22698675794527,77.04920617339667
81,True,optimal,220614.4035665464,2.0513412000000244,2.3725294795440277e-07,1.1109719588731082e-08,233.42281229421496,77.47494286671281
82,True,optimal,225695.08791619987,2.2702671000006376,2.3730859410875382e-07,1.1194595694874465e-08,232.72920781513676,77.79415909969248
83,True,optimal,223339.83588678503,2.3166314999980386,2.3732779652618774e-07,1.1201395810900294e-08,232.85184704326093,77.8003573527094
84,True,optimal,222172.42187699338,2.316154000000097,2.3723504938288897e-07,1.1192667015436086e-08,236.51679405523464,77.32878321106546
85,True,optimal,225643.1715958329,2.248309499998868,2.372471428202516e-07,1.1187000659163004e-08,235.00886446610093,78.01975083816797
86,True,optimal,223575.9676338127,2.280871599999955,2.371990319716133e-07,1.1178196368533122e-08,236.82800629688427,78.45206603815313
87,True,optimal,230369.36363330585,2.315594899999269,2.3721747766103363e-07,1.1189734250294237e-08,236.50949079496786,78.05690215795767
88,True,optimal,224272.9137283544,2.2514431000017794,2.3726082787334235e-07,1.1196683136205365e-08,234.69915272388607,78.46477483713534
89,True,optimal,223080.75704037774,2.2787123000016436,2.3727102060888683e-07,1.1165033342308561e-08,234.3517280621454,77.71353458042722
90,True,optimal,222688.39087678023,2.1190325999996276,2.3718861541510705e-07,1.1203961980399413e-08,234.87450985237956,77.82779157499317
