Architecture,Raw_Max_Violation,Log_Max_Violation
PINN Baseline,13.87739,1.1423078
PINN Baseline,15.749172,1.1972578
PINN Baseline,14.716644,1.1678088
PINN Baseline,15.452711,1.1890047
PINN Baseline,14.203251,1.1523877
PINN Baseline,14.774645,1.169517
PINN Baseline,15.200138,1.1818476
PINN Baseline,15.375477,1.1868286
PINN Baseline,14.682518,1.1668005
PINN Baseline,15.048643,1.1774974
PINN Baseline,14.805687,1.1704285
PINN Baseline,17.473795,1.2423872
PINN Baseline,13.236536,1.1217743
PINN Baseline,14.682547,1.1668013
PINN Baseline,14.469559,1.1604552
PINN Baseline,16.093502,1.2066506
PINN Baseline,15.276449,1.1840224
PINN Baseline,14.996803,1.1759987
PINN Baseline,15.431555,1.1884097
PINN Baseline,15.770758,1.1978526
PINN Baseline,15.985744,1.2037328
PINN Baseline,15.614643,1.1935321
PINN Baseline,13.81225,1.1402644
PINN Baseline,15.321634,1.1853051
PINN Baseline,14.16832,1.1513183
PINN Baseline,13.916693,1.1435361
PINN Baseline,14.557184,1.1630774
PINN Baseline,13.776884,1.139151
PINN Baseline,14.044243,1.1474984
PINN Baseline,13.106041,1.1174716
PINN Baseline,14.616436,1.1648415
PINN Baseline,15.076195,1.1782918
PINN Baseline,15.106796,1.1791724
PINN Baseline,14.710445,1.1676258
PINN Baseline,14.095963,1.1490947
PINN Baseline,13.928581,1.1439068
PINN Baseline,14.472141,1.1605328
PINN Baseline,14.675882,1.1666043
PINN Baseline,13.108013,1.1175369
PINN Baseline,15.004059,1.1762087
PINN Baseline,14.465891,1.1603452
PINN Baseline,14.635355,1.1654032
PINN Baseline,14.690701,1.1670425
PINN Baseline,14.548592,1.1628209
PINN Baseline,14.960741,1.1749531
PINN Baseline,13.244694,1.122042
PINN Baseline,13.700863,1.136748
PINN Baseline,15.94161,1.2025322
PINN Baseline,14.636456,1.1654359
PINN Baseline,13.698797,1.1366824
PINN Baseline,13.913008,1.143421
PINN Baseline,14.315851,1.1558172
PINN Baseline,13.10515,1.117442
PINN Baseline,17.631021,1.2462775
PINN Baseline,13.662443,1.1355283
PINN Baseline,14.879145,1.172578
PINN Baseline,14.445921,1.1597452
PINN Baseline,14.357166,1.1570687
PINN Baseline,14.302603,1.155415
PINN Baseline,14.246244,1.1537004
PINN Baseline,14.050962,1.147706
PINN Baseline,16.28929,1.2119021
PINN Baseline,14.503216,1.1614643
PINN Baseline,14.161139,1.1510981
PINN Baseline,16.05963,1.2057356
PINN Baseline,13.980677,1.1455282
PINN Baseline,14.464352,1.160299
PINN Baseline,14.625841,1.1651208
PINN Baseline,16.177248,1.2089046
PINN Baseline,15.0174885,1.1765974
PINN Baseline,16.953213,1.229252
PINN Baseline,16.043463,1.2052981
PINN Baseline,16.580109,1.2195873
PINN Baseline,14.313232,1.1557378
PINN Baseline,14.803551,1.1703659
PINN Baseline,15.421131,1.1881162
PINN Baseline,15.467089,1.1894085
PINN Baseline,15.149088,1.1803865
PINN Baseline,13.824736,1.1406568
PINN Baseline,16.387787,1.2145203
PINN Baseline,14.240463,1.1535242
PINN Baseline,14.681339,1.1667657
PINN Baseline,15.140425,1.1801381
PINN Baseline,15.336239,1.1857189
PINN Baseline,15.624495,1.1938059
PINN Baseline,14.498846,1.1613334
PINN Baseline,15.159533,1.1806858
PINN Baseline,14.26586,1.154298
PINN Baseline,14.837902,1.1713725
PINN Baseline,15.784353,1.1982268
PINN Baseline,14.219412,1.1528816
PINN Baseline,14.562414,1.1632334
PINN Baseline,13.116816,1.1178284
PINN Baseline,16.148409,1.2081298
PINN Baseline,14.184612,1.1518174
PINN Baseline,15.059059,1.1777978
PINN Baseline,16.71972,1.223229
PINN Baseline,15.232313,1.1827658
PINN Baseline,15.707342,1.1961027
PINN Baseline,15.114222,1.1793858
PINN Baseline,14.63291,1.1653306
PINN Baseline,15.057106,1.1777415
PINN Baseline,15.0349045,1.1771007
PINN Baseline,15.247204,1.1831902
PINN Baseline,13.93445,1.1440898
PINN Baseline,15.816368,1.1991068
PINN Baseline,13.888817,1.1426653
PINN Baseline,14.227175,1.1531186
PINN Baseline,13.927456,1.1438718
PINN Baseline,15.67601,1.1952355
PINN Baseline,15.245901,1.1831532
PINN Baseline,15.605846,1.1932874
PINN Baseline,13.877876,1.142323
PINN Baseline,15.097139,1.1788946
PINN Baseline,14.55732,1.1630814
PINN Baseline,15.732552,1.1967992
PINN Baseline,13.800339,1.1398897
PINN Baseline,14.795879,1.1701407
PINN Baseline,14.3022175,1.1554034
PINN Baseline,15.147461,1.1803398
PINN Baseline,14.608374,1.1646019
PINN Baseline,14.480389,1.1607802
PINN Baseline,15.548611,1.1916916
PINN Baseline,13.142525,1.1186788
PINN Baseline,15.189022,1.1815298
PINN Baseline,15.656343,1.1946903
PINN Baseline,15.463112,1.1892968
PINN Baseline,15.803869,1.1987634
PINN Baseline,16.010742,1.2044115
PINN Baseline,13.35331,1.1255889
PINN Baseline,14.44916,1.1598426
PINN Baseline,14.550043,1.1628643
PINN Baseline,16.338848,1.2132214
PINN Baseline,15.480783,1.189793
PINN Baseline,14.828701,1.1711031
PINN Baseline,15.51306,1.1906974
PINN Baseline,12.633497,1.1015236
PINN Baseline,13.426302,1.1279564
PINN Baseline,14.269344,1.154404
PINN Baseline,15.474033,1.1896036
PINN Baseline,14.502245,1.1614352
PINN Baseline,15.340071,1.1858274
PINN Baseline,16.064209,1.2058593
PINN Baseline,15.625853,1.1938437
PINN Baseline,13.705315,1.136889
PINN Baseline,15.434721,1.1884987
PINN Baseline,14.903654,1.1732928
PINN Baseline,12.887663,1.1101742
PINN Baseline,15.320784,1.185281
PINN Baseline,15.345827,1.1859903
PINN Baseline,15.74876,1.1972463
PINN Baseline,15.801895,1.1987091
PINN Baseline,14.875475,1.1724708
PINN Baseline,16.272848,1.2114636
PINN Baseline,15.286463,1.184307
PINN Baseline,15.587606,1.1927794
PINN Baseline,15.1628,1.1807795
PINN Baseline,15.318733,1.1852229
PINN Baseline,15.456863,1.1891214
PINN Baseline,15.203934,1.1819559
PINN Baseline,14.716639,1.1678087
PINN Baseline,13.950392,1.1445864
PINN Baseline,14.717613,1.1678374
PINN Baseline,13.648401,1.1350818
PINN Baseline,15.409409,1.187786
PINN Baseline,13.455301,1.1288934
PINN Baseline,15.8837185,1.2009522
PINN Baseline,15.618883,1.19365
PINN Baseline,14.186489,1.1518749
PINN Baseline,15.298929,1.184661
PINN Baseline,14.345882,1.1567273
PINN Baseline,13.94861,1.1445309
PINN Baseline,14.081829,1.1486591
PINN Baseline,15.2508335,1.1832936
PINN Baseline,14.82793,1.1710806
PINN Baseline,16.364597,1.2139053
PINN Baseline,14.245562,1.1536796
PINN Baseline,14.502726,1.1614497
PINN Baseline,14.060455,1.1479994
PINN Baseline,15.397575,1.1874523
PINN Baseline,15.350542,1.1861237
PINN Baseline,14.783144,1.1697668
PINN Baseline,15.2635975,1.1836569
PINN Baseline,15.018171,1.176617
PINN Baseline,15.571682,1.1923355
PINN Baseline,15.304293,1.1848133
PINN Baseline,14.569712,1.163451
PINN Baseline,14.670593,1.1664476
PINN Baseline,15.118622,1.1795123
PINN Baseline,15.742077,1.197062
PINN Baseline,15.349426,1.1860921
PINN Baseline,14.98317,1.1756037
PINN Baseline,15.053785,1.1776457
PINN Baseline,14.950491,1.1746554
PINN Baseline,14.200443,1.1523019
PINN Baseline,15.099876,1.1789734
PINN Baseline,13.613176,1.1339594
PINN Baseline,15.374384,1.1867977
PINN Baseline,14.339838,1.1565442
PINN Baseline,15.083065,1.1784896
PINN Baseline,15.085562,1.1785614
PINN Baseline,14.958103,1.1748766
PINN Baseline,15.163483,1.180799
PINN Baseline,15.11908,1.1795254
PINN Baseline,14.108881,1.1494926
PINN Baseline,14.632759,1.1653262
PINN Baseline,14.902437,1.1732574
PINN Baseline,14.54496,1.1627126
PINN Baseline,16.26538,1.2112643
PINN Baseline,16.06355,1.2058415
PINN Baseline,13.63423,1.1346306
PINN Baseline,13.261248,1.1225843
PINN Baseline,14.237398,1.1534306
PINN Baseline,14.475132,1.1606225
PINN Baseline,14.204252,1.1524184
PINN Baseline,13.759478,1.1386019
PINN Baseline,14.416891,1.1588717
PINN Baseline,16.091642,1.2066004
PINN Baseline,14.991129,1.1758343
PINN Baseline,15.554781,1.1918639
PINN Baseline,15.126259,1.1797315
PINN Baseline,15.093655,1.1787944
PINN Baseline,15.005194,1.1762416
PINN Baseline,14.917198,1.1736872
PINN Baseline,14.32432,1.156074
PINN Baseline,15.320383,1.1852696
PINN Baseline,13.40406,1.1272364
PINN Baseline,14.533329,1.1623651
PINN Baseline,15.549219,1.1917086
PINN Baseline,14.235468,1.1533717
PINN Baseline,14.209263,1.1525716
PINN Baseline,14.989786,1.1757954
PINN Baseline,14.260429,1.1541326
PINN Baseline,16.565273,1.2191986
PINN Baseline,14.846041,1.1716106
PINN Baseline,15.120544,1.1795675
PINN Baseline,12.349379,1.0916451
PINN Baseline,14.800125,1.1702654
PINN Baseline,14.542534,1.1626401
PINN Baseline,15.4287815,1.1883316
PINN Baseline,14.947964,1.174582
PINN Baseline,14.336636,1.1564473
PINN Baseline,13.736454,1.1378746
PINN Baseline,12.503344,1.0970261
PINN Baseline,16.293682,1.2120192
PINN Baseline,15.56126,1.1920447
PINN Baseline,15.2803,1.1841319
PINN Baseline,13.304468,1.1239976
PINN Baseline,15.035198,1.1771091
PINN Baseline,15.485628,1.1899288
PINN Baseline,14.667839,1.1663661
PINN Baseline,14.724403,1.1680377
PINN Baseline,15.5196705,1.1908824
