Sheet,Metric,Architecture 1,Architecture 2,MW_U_Stat,MW_p_val,KS_D_Stat,KS_p_val,MW_Sig (p<0.05),KS_Sig (p<0.05)
300,Max_Eq,DC3,FSNet,0.0,0.0079,1.0,0.0079,True,True
300,Max_Eq,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
300,Max_Eq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
300,Max_Eq,FSNet,KKT,25.0,0.0079,1.0,0.0079,True,True
300,Max_Eq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
300,Max_Eq,KKT,Rahul's Model,18.0,0.3095,0.6,0.3571,False,False
300,Mean_Eq,PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
300,Mean_Eq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
300,Mean_Eq,PINN Baseline,KKT,10.0,0.6905,0.6,0.3571,False,False
300,Mean_Eq,PINN Baseline,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
300,Mean_Eq,DC3,FSNet,4.0,0.0952,0.6,0.3571,False,False
300,Mean_Eq,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
300,Mean_Eq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
300,Mean_Eq,FSNet,KKT,25.0,0.0079,1.0,0.0079,True,True
300,Mean_Eq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
300,Mean_Eq,KKT,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,PINN Baseline,KKT,25.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,DC3,FSNet,0.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,FSNet,KKT,25.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
300,Max_Ineq,KKT,Rahul's Model,16.0,0.5476,0.6,0.3571,False,False
300,Mean_Ineq,PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
300,Mean_Ineq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
300,Mean_Ineq,PINN Baseline,KKT,25.0,0.0079,1.0,0.0079,True,True
300,Mean_Ineq,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
300,Mean_Ineq,DC3,FSNet,0.0,0.0079,1.0,0.0079,True,True
300,Mean_Ineq,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
