Job: acopf_run
Executing: ACOPF_FSNet.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch 1200 | Cost: 1491.93 | Max P-Miss: 0.1238 | Max Q-Miss: 0.0433 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1210 | Cost: 1487.54 | Max P-Miss: 0.1197 | Max Q-Miss: 0.0389 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1220 | Cost: 1438.95 | Max P-Miss: 0.2140 | Max Q-Miss: 0.1001 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1230 | Cost: 1484.53 | Max P-Miss: 0.1182 | Max Q-Miss: 0.0986 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1240 | Cost: 1486.95 | Max P-Miss: 0.1673 | Max Q-Miss: 0.0444 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1250 | Cost: 1470.20 | Max P-Miss: 0.1196 | Max Q-Miss: 0.0471 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1260 | Cost: 1480.79 | Max P-Miss: 0.1062 | Max Q-Miss: 0.0419 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1270 | Cost: 1432.86 | Max P-Miss: 0.1161 | Max Q-Miss: 0.0537 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1280 | Cost: 1471.69 | Max P-Miss: 0.1269 | Max Q-Miss: 0.0376 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1290 | Cost: 1472.84 | Max P-Miss: 0.1399 | Max Q-Miss: 0.0348 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1300 | Cost: 1449.59 | Max P-Miss: 0.1388 | Max Q-Miss: 0.0517 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1310 | Cost: 1467.74 | Max P-Miss: 0.1313 | Max Q-Miss: 0.0391 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1320 | Cost: 1482.25 | Max P-Miss: 0.1313 | Max Q-Miss: 0.0446 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1330 | Cost: 1492.42 | Max P-Miss: 0.1135 | Max Q-Miss: 0.0363 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1340 | Cost: 1469.89 | Max P-Miss: 0.1381 | Max Q-Miss: 0.0402 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1350 | Cost: 1489.13 | Max P-Miss: 0.1293 | Max Q-Miss: 0.0363 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1360 | Cost: 1489.57 | Max P-Miss: 0.1395 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1370 | Cost: 1492.07 | Max P-Miss: 0.1202 | Max Q-Miss: 0.0322 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1380 | Cost: 1487.43 | Max P-Miss: 0.1252 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1390 | Cost: 1487.36 | Max P-Miss: 0.1240 | Max Q-Miss: 0.0334 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1400 | Cost: 1484.33 | Max P-Miss: 0.1242 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1410 | Cost: 1487.14 | Max P-Miss: 0.1319 | Max Q-Miss: 0.0259 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
