Job: acopf_run
Executing: ACOPF_pinn_rahul.py
Node: gpu0002
GPU Allocated: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch 1070 | Cost:  -87.93 | Max P-Miss: 0.5469 | Max Q-Miss: 0.4396 | Max Gen Viol: 0.9844 | Max Thermal: 0.0000
Epoch 1080 | Cost:  -69.33 | Max P-Miss: 0.5473 | Max Q-Miss: 0.4506 | Max Gen Viol: 0.9804 | Max Thermal: 0.0000
Epoch 1090 | Cost:  -70.68 | Max P-Miss: 0.5570 | Max Q-Miss: 0.4454 | Max Gen Viol: 0.9818 | Max Thermal: 0.0000
Epoch 1100 | Cost:  -71.28 | Max P-Miss: 0.5301 | Max Q-Miss: 0.4626 | Max Gen Viol: 0.9771 | Max Thermal: 0.0000
Epoch 1110 | Cost:  -63.51 | Max P-Miss: 0.5436 | Max Q-Miss: 0.4504 | Max Gen Viol: 0.9898 | Max Thermal: 0.0000
Epoch 1120 | Cost: -126.37 | Max P-Miss: 0.5517 | Max Q-Miss: 0.7577 | Max Gen Viol: 0.9953 | Max Thermal: 0.0000
Epoch 1130 | Cost:  -83.93 | Max P-Miss: 0.5435 | Max Q-Miss: 0.4364 | Max Gen Viol: 0.9760 | Max Thermal: 0.0000
Epoch 1140 | Cost:  -70.68 | Max P-Miss: 0.5401 | Max Q-Miss: 0.4486 | Max Gen Viol: 0.9850 | Max Thermal: 0.0000
Epoch 1150 | Cost:  -79.04 | Max P-Miss: 0.5237 | Max Q-Miss: 0.4876 | Max Gen Viol: 0.9836 | Max Thermal: 0.0000
Epoch 1160 | Cost:  -70.63 | Max P-Miss: 0.5333 | Max Q-Miss: 0.4447 | Max Gen Viol: 0.9788 | Max Thermal: 0.0000
Epoch 1170 | Cost:  -58.95 | Max P-Miss: 0.5286 | Max Q-Miss: 0.4451 | Max Gen Viol: 0.9874 | Max Thermal: 0.0000
Epoch 1180 | Cost:  -30.52 | Max P-Miss: 1.5592 | Max Q-Miss: 3.1250 | Max Gen Viol: 1.3321 | Max Thermal: 0.2887
Epoch 1190 | Cost:   -6.71 | Max P-Miss: 0.5869 | Max Q-Miss: 1.0529 | Max Gen Viol: 1.0223 | Max Thermal: 0.0000
Epoch 1200 | Cost:   88.55 | Max P-Miss: 0.5563 | Max Q-Miss: 0.4452 | Max Gen Viol: 0.9641 | Max Thermal: 0.0000
Epoch 1210 | Cost:   98.70 | Max P-Miss: 0.5460 | Max Q-Miss: 0.4480 | Max Gen Viol: 0.9731 | Max Thermal: 0.0000
Epoch 1220 | Cost:   66.96 | Max P-Miss: 0.5450 | Max Q-Miss: 0.4569 | Max Gen Viol: 0.9748 | Max Thermal: 0.0000
Epoch 1230 | Cost:   76.69 | Max P-Miss: 0.5284 | Max Q-Miss: 0.4703 | Max Gen Viol: 0.9731 | Max Thermal: 0.0000
