Job: acopf_ISS
Executing: ACOPF_pinn_baseline.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  320 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  330 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  340 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  350 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  360 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  370 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  380 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  390 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  400 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  410 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  420 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  430 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  440 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  450 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  460 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  470 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  480 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  490 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  500 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  510 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  520 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  530 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  540 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
