Bus,Case,Projection,Weights,Seed,Checkpoint,Objective_Deviation_pct,Max_Eq,Mean_Eq,Max_Ineq,Mean_Ineq,Max_Violation,Feasibility_Rate,Inference_Time_s
14,pglib_opf_case14_ieee,generation,nominal,4,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed4_20260924_080020.pth,15.867849173069,0.09430103325843811,0.035027432333678006,0.6663091889619828,0.05376820722594857,0.6663091889619828,0.0,1.8050894141197204e-07
14,pglib_opf_case14_ieee,generation,nominal,5,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed5_20260924_080020.pth,15.137498680591584,0.07288193353265524,0.03490195807814598,0.6410481817722321,0.05131144177913666,0.6410481817722321,0.0,1.7796177417039872e-07
14,pglib_opf_case14_ieee,full,nominal,1,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed1_20260924_073545.pth,8.166320598602296,0.09183567401766778,0.04461982049047947,0.05803346210718155,0.0010338859325274825,0.09183567401766778,0.0,2.082139253616333e-07
14,pglib_opf_case14_ieee,full,nominal,2,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed2_20260924_073545.pth,8.215714304327964,0.09372791576385497,0.04373884691298008,0.058913586556911465,0.00104730436950922,0.09372791576385497,0.0,1.8972111865878105e-07
14,pglib_opf_case14_ieee,full,nominal,3,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed3_20260924_073545.pth,8.21094042557478,0.09166645546257496,0.04380020781978965,0.05886813777685165,0.0010459664040245115,0.09166645546257496,0.0,1.9897427409887313e-07
14,pglib_opf_case14_ieee,full,nominal,4,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed4_20260924_073545.pth,8.232209754228592,0.09052127873897553,0.04415596403926611,0.0616593331694603,0.0010946667697280645,0.09052127873897553,0.0,1.9343383610248566e-07
14,pglib_opf_case14_ieee,full,nominal,5,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed5_20260924_073545.pth,8.268126873373985,0.09513822765648365,0.04427760708704591,0.05891246098279953,0.001049086914397776,0.09513822765648365,0.0,1.8244609236717225e-07
14,pglib_opf_case14_ieee,full,equal,1,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed1_20260922_042806.pth,-100.0,0.1970350123345852,0.09436511393636465,0.0015844963788986205,1.2378877960145473e-05,0.1970350123345852,0.0,2.0590005442500113e-07
14,pglib_opf_case14_ieee,full,equal,2,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed2_20260922_045223.pth,-100.0,0.19787820599973202,0.09434247155487538,0.0,0.0,0.19787820599973202,0.0,2.851248718798161e-07
14,pglib_opf_case14_ieee,full,equal,3,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed3_20260922_052607.pth,-100.0,0.19852779337763787,0.09439649393409491,0.001468194842338562,1.1470272205770016e-05,0.19852779337763787,0.0,2.846652641892433e-07
14,pglib_opf_case14_ieee,full,equal,4,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed4_20260922_060156.pth,-100.0,0.19824557681381702,0.09423730045557022,0.001703518033027649,1.3308734633028508e-05,0.19824557681381702,0.0,2.413536421954632e-07
14,pglib_opf_case14_ieee,full,equal,5,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed5_20260922_063637.pth,-100.0,0.20005088309943675,0.09435350144654513,0.001365526556968689,1.0668176226317883e-05,0.20005088309943675,0.0,2.2535771131515503e-07
14,pglib_opf_case14_ieee,full,inequality,1,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed1_20260922_071150.pth,-100.0,0.19918573245406151,0.09442657915502786,1.1882781982421875e-06,9.28342342376709e-09,0.19918573245406151,0.0,4.922747611999512e-07
14,pglib_opf_case14_ieee,full,inequality,2,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed2_20260922_074659.pth,-100.0,0.19832681769132615,0.09466956955939532,1.9208192825317382e-06,1.5006400644779205e-08,0.19832681769132615,0.0,2.443017438054085e-07
14,pglib_opf_case14_ieee,full,inequality,3,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed3_20260922_082157.pth,-100.0,0.19871003204584123,0.09438195157051087,2.180337905883789e-06,1.70338898897171e-08,0.19871003204584123,0.0,2.2351834923028946e-07
14,pglib_opf_case14_ieee,full,inequality,4,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed4_20260922_085603.pth,-100.0,0.19888896697759628,0.09439198010414838,1.519322395324707e-06,1.1869706213474273e-08,0.19888896697759628,0.0,3.8993312045931816e-07
14,pglib_opf_case14_ieee,full,inequality,5,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed5_20260922_093002.pth,-100.0,0.19836688792705537,0.09457255887240171,1.0079145431518555e-06,7.874332368373871e-09,0.19836688792705537,0.0,3.6948593333363535e-07
14,pglib_opf_case14_ieee,full,physics,1,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed1_20260922_100355.pth,7.355263458117843,0.09294518914073706,0.043894979104399684,0.02367635405063629,0.0003548264652490616,0.09294518914073706,0.0,2.0867167040705682e-07
14,pglib_opf_case14_ieee,full,physics,2,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed2_20260922_103311.pth,7.342544365048409,0.09276428933441638,0.04365610353276134,0.02365960705280304,0.00035182259883731606,0.09276428933441638,0.0,3.0068401247262957e-07
14,pglib_opf_case14_ieee,full,physics,3,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed3_20260922_110152.pth,7.351866521850228,0.09374547562748194,0.04358550506457686,0.023700814485549927,0.00035215677181258797,0.09374547562748194,0.0,2.8750114142894745e-07
14,pglib_opf_case14_ieee,full,physics,4,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed4_20260922_113014.pth,7.353583520084619,0.09021398878097533,0.04400379076227546,0.023613008260726927,0.00035667495056986807,0.09021398878097533,0.0,2.1329103037714958e-07
14,pglib_opf_case14_ieee,full,physics,5,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed5_20260922_115915.pth,7.352289338931441,0.09228107760846614,0.04370247010141611,0.02367960822582245,0.0003582441844046116,0.09228107760846614,0.0,2.1948805078864097e-07
